strain,stress
0.000000000000000000e+00,-2.014445900000000120e-05
2.499873258174753390e-04,3.559776900000000181e-05
4.999746516348378125e-04,-1.279953600000000017e-05
7.500414394121165127e-04,-4.692281199999999685e-05
1.000028765229478986e-03,1.903418100000000076e-06
1.250016091046954325e-03,5.059058500000000210e-05
1.500003416864316690e-03,-1.411505899999999926e-05
1.749990742681679272e-03,1.432805900000000044e-05
1.999978068499154611e-03,8.924984899999999449e-05
2.250044856276433528e-03,6.339468899999999452e-05
2.500032182093795893e-03,4.849187699999999942e-05
2.750019507911158258e-03,7.796582499999999988e-05
3.000006833728633381e-03,1.796220300000000113e-04
3.249994159545996179e-03,1.661425999999999973e-04
3.499981485363358544e-03,1.464687900000000089e-04
3.749968811180720910e-03,1.961736599999999991e-04
4.000035598958112150e-03,1.670146300000000005e-04
4.250022924775474949e-03,3.299677299999999769e-04
4.500010250592837747e-03,7.552891400000000624e-05
4.749997576410199679e-03,1.047886100000000023e-04
4.999984902227675235e-03,3.590406199999999939e-04
5.249972228045038034e-03,6.206169200000000055e-06
5.500039015822316517e-03,-1.573739100000000086e-04
5.750026341639678448e-03,3.926517000000000136e-04
6.000013667457154004e-03,-2.596482399999999811e-04
6.250000993274516803e-03,-6.700939100000000192e-04
6.499988319091878734e-03,-7.190782700000000348e-05
6.749975644909354290e-03,-5.526487399999999552e-04
7.000042432686632773e-03,-8.669271000000000095e-04
7.250029758503995572e-03,-6.578089499999999592e-04
7.500017084321358371e-03,-8.555475400000000239e-04
7.750004410138833059e-03,-1.077346700000000098e-03
7.999991735956194991e-03,-1.084162100000000094e-03
8.249979061773557790e-03,-9.425142199999999703e-04
8.500045849550837140e-03,-1.062281900000000079e-03
8.750033175368312696e-03,-5.716262699999999971e-04
9.000020501185675495e-03,-6.886565399999999577e-04
9.250007827003036559e-03,-6.090919499999999714e-04
9.499995152820512115e-03,-1.987583900000000105e-03
9.749982478637874914e-03,-8.756909999999999477e-04
9.999969804455237712e-03,-9.860126500000000911e-04
1.025003659223251706e-02,-1.406766899999999923e-03
1.050002391804999088e-02,-5.721833799999999793e-05
1.075001124386735368e-02,-2.837543299999999765e-04
1.099999856968471648e-02,-7.901758500000000216e-04
1.124998589550219204e-02,-1.005563300000000002e-03
1.149997322131955484e-02,9.049769300000000145e-04
1.175004000909683245e-02,5.481955799999999783e-04
1.200002733491419525e-02,-8.645803899999999521e-04
1.225001466073167081e-02,-2.336727000000000031e-04
1.250000198654903361e-02,4.358444600000000151e-04
1.274998931236639640e-02,-2.866054399999999744e-04
1.299997663818387023e-02,-1.362294200000000073e-03
1.325004342596114958e-02,7.103850800000000151e-04
1.350003075177851238e-02,-7.609564199999999719e-04
1.375001807759587517e-02,-6.515754499999999857e-04
1.400000540341335073e-02,3.324911800000000112e-04
1.424999272923071179e-02,-6.849383199999999755e-04
1.449998005504807459e-02,-1.265257799999999939e-03
1.475004684282535394e-02,-1.321534400000000105e-04
1.500003416864282950e-02,-1.314974800000000060e-03
1.525002149446019056e-02,-8.624869199999999920e-04
1.550000882027755336e-02,-4.937454299999999860e-04
1.574999614609503065e-02,-3.791484600000000009e-04
1.599998347191238998e-02,-9.150535800000000495e-04
1.624997079772975278e-02,-7.250135899999999656e-04
1.650003758550703387e-02,-2.693320599999999795e-04
1.675002491132450769e-02,-5.664542000000000492e-04
1.700001223714187049e-02,-6.244865800000000107e-04
1.724999956295934431e-02,-6.584484200000000108e-04
1.749998688877659608e-02,5.502052500000000122e-05
1.774997421459406990e-02,-5.536714700000000246e-05
1.800004100237123650e-02,3.958566099999999877e-04
1.825002832818871032e-02,-2.044437099999999894e-04
1.850001565400618761e-02,-1.228864499999999930e-04
1.875000297982343592e-02,-3.631157799999999822e-04
1.899999030564091321e-02,2.451777800000000079e-05
1.924997763145838703e-02,1.827273099999999952e-04
1.950004441923555362e-02,4.214401000000000242e-05
1.975003174505302744e-02,-8.230371300000000100e-04
2.000001907087050473e-02,-5.065359800000000020e-04
2.025000639668775304e-02,2.931941300000000077e-04
2.049999372250523033e-02,-6.801982799999999876e-04
2.074998104832270415e-02,-9.388811799999999567e-04
2.100004783609987075e-02,1.393216399999999938e-04
2.125003516191734457e-02,-6.947815600000000402e-04
2.150002248773459634e-02,-1.826195399999999995e-03
2.175000981355207016e-02,-3.885390700000000198e-04
2.199999713936954746e-02,4.305040599999999875e-04
2.224998446518679576e-02,-4.246004699999999859e-04
2.249997179100426958e-02,-5.269893999999999794e-04
2.275003857878166169e-02,-3.206240699999999763e-04
2.300002590459891347e-02,-2.787458699999999950e-04
2.325001323041638729e-02,-1.537114400000000097e-04
