Engineering Strain-X,True Stress(MPa)
-2.78E-17,3.03E-04
0.001,0.000295425086
0.002,0.0003023649426
0.003,0.0005840505804
0.004,0.0008355190104
0.005,0.0009330297499
0.006,0.0009226546142
0.007,0.001247421961
0.008,0.001220248329
0.009,0.001347548305
0.01,0.001535230913
0.011,0.001578168308
0.012,0.0019221083
0.013,0.001965854732
0.014,0.00207133453
0.015,0.002301377313
0.016,0.002379163856
0.017,0.002495507843
0.018,0.002570269742
0.019,0.002865496247
0.02,0.003025959015
0.021,0.002993407184
0.022,0.003175522726
0.023,0.003383179262
0.024,0.003485159259
0.025,0.003482121076
0.026,0.003680033309
0.027,0.003933945374
0.028,0.003992913057
0.029,0.004126762654
0.03,0.004310580627
0.031,0.004243041064
0.032,0.004805692862
0.033,0.004828312235
0.034,0.004884180275
0.035,0.005012182195
0.036,0.005201729315
0.037,0.00551450374
0.038,0.005570052867
0.039,0.005658945535
0.04,0.005740950741
0.041,0.00600983263
0.042,0.006011058656
0.043,0.006212329154
0.044,0.006373502201
0.045,0.006482642963
0.046,0.006666993008
0.047,0.006772371693
0.048,0.007079627016
0.049,0.00713910425
0.05,0.00717846858
0.051,0.007521455104
0.052,0.007384818649
0.053,0.008285108696
0.054,0.00744580082
0.055,0.008492897501
0.056,0.008585809458
0.057,0.008809097065
0.058,0.008732381491
0.059,0.008620846348
0.06,0.008148369786
0.061,0.008878181952
0.062,0.009017783811
0.063,0.009775190286
0.064,0.009872906472
0.065,0.0106823851
0.066,0.01029474165
0.067,0.01083106867
0.068,0.01099555521
0.069,0.01140109169
0.07,0.01137928062
0.071,0.01147294706
0.072,0.01050841394
0.073,0.011040909
0.074,0.01235102588
0.075,0.01222207994
0.076,0.01086057278
0.077,0.01076800889
0.078,0.01249268264
0.079,0.01307996235
0.08,0.01305646891
0.081,0.01344011517
0.082,0.01368981065
0.083,0.01361191977
0.084,0.01315008
0.085,0.01267592554
0.086,0.01315918282
0.087,0.01461887058
0.088,0.0146400904
0.089,0.01494269946
0.09,0.01518095131
0.091,0.01536479846
0.092,0.01540057081
0.093,0.01541493423
0.094,0.01576924334
0.095,0.01585223558
0.096,0.01613585436
0.097,0.01620848122
0.098,0.01626266412
0.099,0.01675225527
0.1,0.01683500076
0.101,0.01712234984
0.102,0.01711792273
0.103,0.0171877235
0.104,0.01753774536
0.105,0.01787174128
0.106,0.01813267721
0.107,0.01812002498
0.108,0.01808342725
0.109,0.0184092791
0.11,0.01862700578
0.111,0.01914113631
0.112,0.01912358756
0.113,0.01916924148
0.114,0.01946573388
0.115,0.01958863954
0.116,0.02000805439
0.117,0.01993092378
0.118,0.02015183565
0.119,0.02044487339
0.12,0.02052874296
0.121,0.02079351739
0.122,0.02093739048
0.123,0.02104313566
0.124,0.02138500731
0.125,0.02136732668
0.126,0.02149580346
0.127,0.02171393246
0.128,0.02176638869
0.129,0.02209925712
0.13,0.02226619407
0.131,0.02223616329
0.132,0.02276035948
0.133,0.0228931216
0.134,0.02333903094
0.135,0.02337792929
0.136,0.02338073578
0.137,0.02391077874
0.138,0.02385669574
0.139,0.02405773736
0.14,0.02425742295
0.141,0.02423580574
0.142,0.02451716907
0.143,0.02476798246
0.144,0.02489380242
0.145,0.02516892245
0.146,0.02526456225
0.147,0.02549086895
0.148,0.02573809433
0.149,0.02571683907
0.15,0.02600542244
0.151,0.02625035421
0.152,0.02636632796
0.153,0.02659533793
0.154,0.02666056871
0.155,0.02701922815
0.156,0.02714387253
0.157,0.02711266489
0.158,0.02746209436
0.159,0.02780670248
0.16,0.0277802628
0.161,0.02836305335
0.162,0.02833872763
0.163,0.02847936306
0.164,0.02884337716
0.165,0.02890107936
0.166,0.02912822412
0.167,0.02929396345
0.168,0.0294010836
0.169,0.02979384859
0.17,0.02978919212
0.171,0.0300587495
0.172,0.03028837197
0.173,0.03041172398
0.174,0.03079866264
0.175,0.03079860833
0.176,0.0308444567
0.177,0.0312370128
0.178,0.03133324271
0.179,0.03164459791
0.18,0.03182178479
0.181,0.03181311295
0.182,0.0322806147
0.183,0.03225282697
0.184,0.0324754994
0.185,0.03284477526
0.186,0.03292251821
0.187,0.03339483744
0.188,0.03349254561
0.189,0.0337526746
0.19,0.03403375057
0.191,0.03396480974
0.192,0.03428813637
0.193,0.03440443649
0.194,0.03463250378
0.195,0.03491363026
0.196,0.03509643314
0.197,0.03542363814
0.198,0.03551406572
0.199,0.03540944456
0.2,0.03606541248
0.201,0.03597962641
0.202,0.03655780415
0.203,0.03658182442
0.204,0.03684087245
0.205,0.0370478077
0.206,0.03718621701
0.207,0.03757509879
0.208,0.03757046717
0.209,0.03776409462
0.21,0.03806065826
0.211,0.03813420068
0.212,0.03858753791
0.213,0.03876691812
0.214,0.03924964823
0.215,0.03930335434
0.216,0.03939261745
0.217,0.03972075235
0.218,0.04004028059
0.219,0.04035664973
0.22,0.04035126046
0.221,0.04059852946
0.222,0.04081703099
0.223,0.04129915074
0.224,0.04134962367
0.225,0.04137284835
0.226,0.04165656008
0.227,0.04191487068
0.228,0.04204083583
0.229,0.04244889788
0.23,0.04270493511
0.231,0.04298592595
0.232,0.04297195443
0.233,0.04324028532
0.234,0.04355820604
0.235,0.0441615601
0.236,0.04428327909
0.237,0.04470574482
0.238,0.04473071307
0.239,0.04478247326
0.24,0.04533060221
0.241,0.04532034753
0.242,0.0457423698
0.243,0.0458688577
0.244,0.04628568576
0.245,0.04638787976
0.246,0.04648788469
0.247,0.04696723679
0.248,0.0471052836
0.249,0.04751114198
0.25,0.04756890012
0.251,0.04805320051
0.252,0.04826093784
0.253,0.04856447855
0.254,0.04879151082
0.255,0.04874139423
0.256,0.04926476502
0.257,0.04964630576
0.258,0.04998538381
0.259,0.04999661225
0.26,0.05033788069
0.261,0.05050957783
0.262,0.05091397182
0.263,0.05105405569
0.264,0.05149651348
0.265,0.05167128108
0.266,0.05202737735
0.267,0.05223833098
0.268,0.05258700948
0.269,0.05274895833
0.27,0.05296102497
0.271,0.05324939585
0.272,0.05367348801
0.273,0.05384561699
0.274,0.05428460085
0.275,0.05431554206
0.276,0.05458297245
0.277,0.05501548741
0.278,0.05516241831
0.279,0.05555051287
0.28,0.05573556936
0.281,0.05619126833
0.282,0.05641562755
0.283,0.0567846767
0.284,0.05693223967
0.285,0.05731746213
0.286,0.05735014034
0.287,0.05771157006
0.288,0.05821909526
0.289,0.05849338695
0.29,0.0586850178
0.291,0.05902419407
0.292,0.05898086262
0.293,0.05954343316
0.294,0.05975972306
0.295,0.06015403007
0.296,0.06016105228
0.297,0.0607306259
0.298,0.06095304357
0.299,0.06144924957
0.3,0.06173938435
0.301,0.06198289428
0.302,0.06251156912
0.303,0.06251318449
0.304,0.06310786766
0.305,0.06315249286
0.306,0.0633081553
0.307,0.06380900442
0.308,0.0638051323
0.309,0.06425758928
0.31,0.06440186137
0.311,0.06482103469
0.312,0.0652150913
0.313,0.0654941003
0.314,0.06599897618
0.315,0.06613989007
0.316,0.06660618637
0.317,0.06713477565
0.318,0.0673925975
0.319,0.06768102657
0.32,0.06779046132
0.321,0.06820046916
0.322,0.06861035322
0.323,0.06884557438
0.324,0.06900153217
0.325,0.06924185389
0.326,0.06955116228
0.327,0.0699025063
0.328,0.07028836624
0.329,0.07070119943
0.33,0.07113344031
0.331,0.07157750037
0.332,0.07202576815
0.333,0.07247060928
0.334,0.07290436644
0.335,0.0733193594
0.336,0.07370788496
0.337,0.07406221702
0.338,0.07437460653
0.339,0.07479744808
0.34,0.07517531267
0.341,0.07497922832
0.342,0.07552543778
0.343,0.07577573539
0.344,0.0762529901
0.345,0.07658117016
0.346,0.07725504708
0.347,0.07774663035
0.348,0.07794727475
0.349,0.07842440598
0.35,0.07887538253
0.351,0.07927877874
0.352,0.07986750415
0.353,0.08007523637
0.354,0.0807134336
0.355,0.08132317404
0.356,0.08152095597
0.357,0.08209165255
0.358,0.08224324351
0.359,0.08273211039
0.36,0.08300449614
0.361,0.0837283039
0.362,0.08453292738
0.363,0.08473393128
0.364,0.08546608181
0.365,0.08577735837
0.366,0.08657158453
0.367,0.0870719993
0.368,0.08723275248
0.369,0.08798059666
0.37,0.08879164129
0.371,0.08896442452
0.372,0.08989284254
0.373,0.09042902415
0.374,0.09110686944
0.375,0.09149985548
0.376,0.09208104873
0.377,0.09235827466
0.378,0.0932958744
0.379,0.09410645834
0.38,0.09455086378
0.381,0.095279018
0.382,0.09626640342
0.383,0.09716477988
0.384,0.09761848595
0.385,0.09808964186
0.386,0.09864106722
0.387,0.09961251653
0.388,0.09998414746
0.389,0.1013340704
0.39,0.101769974
0.391,0.1029658027
0.392,0.1032434404
0.393,0.1041675395
0.394,0.1044672015
0.395,0.1058307344
0.396,0.1069980565
0.397,0.1072683124
0.398,0.1087949356
0.399,0.1097289285
0.4,0.1106963927
0.401,0.1121073828
0.402,0.1124204789
0.403,0.1139495926
0.404,0.1155311919
0.405,0.1159238528
0.406,0.1172850603
0.407,0.1185184378
0.408,0.1196344264
0.409,0.1199881685
0.41,0.1215503416
0.411,0.1223457802
0.412,0.1243870511
0.413,0.125946797
0.414,0.1272778327
0.415,0.1281167014
0.416,0.1300557781
0.417,0.1310488909
0.418,0.1327392222
0.419,0.1338613569
0.42,0.1362639728
0.421,0.1378520028
0.422,0.1396014645
